Country,ISO3166,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Kazakhstan,KAZ,60,61,62,64,66,68,68,70,69,73,74,75,75,76,78,78,78,80,81,84,85,85
Kenya,KEN,60,52,62,59,63,70,70,70,67,68,60,61,58,59,60,60,57,54,52,53,57,57
Kiribati,KIR,26,24,18,18,17,17,17,22,21,26,27,26,28,26,26,27,27,27,27,27,29,29
Kuwait,KWT,67,70,42,44,44,45,48,48,49,54,57,58,56,56,54,55,55,57,57,59,59,59
Kyrgyzstan,KGZ,49,52,60,61,64,64,61,61,68,71,71,71,64,67,70,72,73,70,69,69,66,67
Laos,LAO,70,68,62,62,66,66,66,69,82,80,82,83,81,81,83,86,84,85,84,84,84,84
Latvia,LVA,29,29,21,21,21,21,24,24,19,18,17,17,19,19,22,23,26,26,27,28,27,28
Lebanon,LBN,46,56,46,46,62,62,61,61,74,71,66,60,60,59,55,56,55,53,51,53,53,55
Lesotho,LSO,47,52,55,58,58,59,56,52,46,42,40,42,42,42,46,48,48,48,49,49,47,48
Liberia,LBR,80,71,70,70,70,70,67,68,77,79,75,73,64,65,65,63,61,59,60,56,58,60
Libya,LBY,87,85,89,90,90,92,90,90,88,89,94,95,96,96,94,94,94,94,60,59,62,73
Liechtenstein,LIE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,14,13,14,14,14,14,14,14,14,14,14
Lithuania,LTU,30,29,25,20,17,18,20,20,19,18,18,18,18,18,18,18,21,22,23,24,24,25
Luxembourg,LUX,12,10,10,10,10,10,10,10,14,14,12,11,11,12,12,12,12,12,12,12,12,12
Macedonia,MKD,N/A,34,36,33,44,42,42,44,46,50,53,51,49,45,47,47,46,48,54,56,57,58
Madagascar,MDG,45,44,32,32,32,32,32,32,31,38,41,50,49,50,48,51,61,64,63,66,63,59
Malawi,MWI,41,43,36,38,40,42,52,52,54,57,52,54,55,53,55,56,56,55,60,53,51,49
Malaysia,MYS,58,64,61,61,61,66,70,70,71,71,69,69,65,68,65,65,64,64,63,64,64,65
Maldives,MDV,68,62,68,65,66,66,65,65,61,64,64,68,70,68,66,56,50,50,51,55,55,55
Mali,MLI,43,52,24,24,30,27,26,22,23,24,27,23,24,24,27,26,25,24,24,46,37,37
Malta,MLT,27,24,17,17,17,17,17,14,13,13,15,18,18,17,20,22,22,22,22,22,23,23
Marshall Islands,MHL,18,19,8,8,8,8,8,8,10,10,12,13,15,17,17,17,17,17,17,17,17,17
Mauritania,MRT,68,77,71,71,71,71,67,67,61,61,64,65,57,55,56,58,56,53,52,47,48,50
Mauritius,MUS,30,30,25,25,20,20,17,17,17,24,26,28,26,26,26,26,27,28,29,30,30,30
Mexico,MEX,60,54,52,52,54,54,50,46,40,38,36,42,48,48,51,55,60,62,62,61,61,63
Micronesia,FSM,25,23,23,23,26,26,24,22,20,17,19,18,20,20,21,21,21,21,21,21,21,21
Moldova,MDA,41,47,62,57,58,56,58,59,59,59,63,65,65,65,66,67,65,55,54,53,53,55
Monaco,MCO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,13,14,16,16,16,16,16,16,16,16,15,15
Mongolia,MNG,40,41,34,34,34,30,29,28,31,36,36,35,34,36,38,41,39,39,37,37,37,37
Montenegro,MNE,86,87,77,75,75,81,81,56,45,40,40,40,40,37,38,37,37,37,35,36,39,39
Morocco,MAR,59,53,48,51,51,51,49,53,58,57,61,63,61,62,64,64,66,68,68,66,66,66
Mozambique,MOZ,61,54,36,50,48,48,48,48,48,47,45,45,43,40,40,41,42,44,43,42,45,44
Namibia,NAM,23,23,30,30,30,38,34,34,34,37,34,29,30,30,30,30,34,34,32,31,31,33
Nauru,NRU,20,18,6,6,6,6,6,13,27,26,25,29,30,28,28,28,28,28,28,28,31,32
Nepal,NPL,53,54,52,56,59,59,59,57,60,65,65,69,77,58,57,57,59,59,55,58,55,55
Netherlands,NDL,14,18,14,14,14,14,14,15,15,15,12,11,11,13,13,13,14,14,12,11,10,11
New Zealand,NZL,8,8,6,6,6,8,8,8,8,8,10,12,13,13,13,14,14,15,17,16,18,19
Nicaragua,NIC,56,53,44,44,40,40,40,40,32,40,37,42,44,42,43,45,47,47,49,51,52,52
Niger,NIU,61,61,54,63,63,68,62,62,49,53,56,53,56,58,63,64,68,59,49,50,52,51
Nigeria,NGA,57,69,92,93,93,55,53,55,57,53,53,52,54,55,53,54,54,52,50,51,51,53
North Korea,PRK,90,92,100,100,100,100,100,100,96,96,98,97,97,97,98,98,99,97,97,96,97,97
Norway,NOR,10,8,5,5,5,5,5,5,9,9,9,10,10,11,10,10,10,11,10,10,10,10
Oman,OMN,68,69,62,67,75,75,71,71,68,73,74,72,70,71,71,71,71,71,71,71,71,71
Pakistan,PAK,58,59,60,54,58,60,64,57,57,58,59,61,61,63,66,62,61,61,63,64,64,65
Palau,PLW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,11,13,14,14,14,14,14,14,16,16,15,15
